department,internal_id,last_sold,name,price,properties,quantity,tags,upc
WINE,,2019-06-27 00:00:00,Jack London Cab Sav Dom 750ml,24.6,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,high_margin,010986000024
WINE,,2019-10-01 00:00:00,Kenwood Cab Sav 750ml Domestic,17.11,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,010986002226
WINE,,2020-02-09 00:00:00,Kenwood Pinot Noir 750ml Domestic,17.11,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,010986002813
WINE,,2020-03-18 00:00:00,Kenwood Sav Blanc 750ml Domestic,12.83,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,010986006026
WINE,,2020-04-25 00:00:00,Kenwood Chard 750ml Domestic,11.76,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,010986007634
LIQUOR,,2019-05-01 00:00:00,Martini $ Rossi Rosso 375ml Liqueur,5.44,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,011034410079
LIQUOR,,2019-04-29 00:00:00,Martini & Rossi Extra Dry 375ml Liqueur,5.44,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,011034420078
WINE,,2019-05-01 00:00:00,Martini & Rossi Prosecco Spark 750ml Import,16.34,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,011034501005
WINE,,2019-05-01 00:00:00,Martini & Rossi Rose Sparkling 750ml Import,16.34,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,011034503825
WINE,,2020-03-24 00:00:00,Macon Villages Joseph Drouhin,16.04,"{""department"": ""WINE"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,high_margin,012086312014
WINE,,2020-02-17 00:00:00,Gentlemans Collection Red Blen 750ml Domestic,12.83,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,012354001466
